Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-11-27,23767.96,36930.00,0.27,5,1.00,1.00,1.00,1.00,0.00,8.32,-2.7%
2025-11-28,23836.79,37055.00,0.55,5,1.00,1.00,1.00,1.00,0.00,8.35,-2.3%
2025-12-01,23589.44,36790.00,0.39,5,1.00,1.00,1.00,1.00,0.00,8.29,-3.0%
2025-12-02,23710.86,37012.50,0.42,5,1.00,1.00,1.00,1.00,0.00,8.34,-2.5%
2025-12-03,23693.71,36750.00,0.38,5,1.00,1.00,1.00,1.00,0.00,8.28,-3.2%
2025-12-04,23882.03,36990.00,0.52,5,1.00,1.00,1.00,1.00,0.00,8.34,-2.5%
2025-12-05,24028.14,37215.00,0.76,5,1.00,1.00,1.00,1.00,0.00,8.39,-1.9%
2025-12-08,24046.01,37265.00,0.62,5,1.00,1.00,1.00,1.00,0.00,8.40,-1.8%
2025-12-09,24162.65,37495.00,0.68,5,1.00,1.00,1.00,1.00,0.00,8.45,-1.2%
2025-12-10,24130.14,37377.50,0.56,5,1.00,1.00,1.00,1.00,0.00,8.42,-1.5%
2025-12-11,24294.61,37720.00,0.63,5,1.00,0.99,0.99,1.00,0.00,8.50,-0.6%
2025-12-12,24186.49,37715.00,0.56,5,1.00,0.97,0.97,1.00,0.00,8.50,-0.6%
2025-12-15,24229.91,37775.00,0.52,5,1.00,1.00,1.00,1.00,0.00,8.51,-0.5%
2025-12-16,24076.87,37445.00,0.50,5,1.00,1.00,1.00,1.00,0.00,8.44,-1.3%
2025-12-17,23960.59,37317.50,0.33,5,1.00,0.98,0.98,1.00,0.00,8.41,-1.7%
2025-12-18,24199.50,37635.00,0.49,5,1.00,0.50,0.50,0.50,-0.50,8.48,-0.8%
2025-12-19,24288.40,37772.50,0.69,5,1.00,0.75,0.75,0.50,0.00,8.50,-0.6%
2025-12-22,24283.97,37670.00,0.56,5,1.00,0.80,0.80,0.50,0.00,8.49,-0.8%
2025-12-23,24340.06,37720.00,0.55,5,1.00,1.00,1.00,1.00,0.50,8.49,-0.7%
2025-12-24,24340.06,37755.00,0.55,5,1.00,1.00,1.00,1.00,0.00,8.50,-0.6%
2025-12-29,24351.12,37665.00,0.59,5,1.00,1.00,1.00,1.00,0.00,8.48,-0.9%
2025-12-30,24490.41,38155.00,0.91,5,1.00,0.50,0.50,0.50,-0.50,8.59,0.0%
2025-12-31,24490.41,37922.50,0.91,5,1.00,0.42,0.42,0.50,0.00,8.56,-0.3%
2026-01-02,24539.34,37905.00,0.95,5,1.00,0.43,0.43,0.50,0.00,8.56,-0.3%
2026-01-05,24868.69,38227.50,1.09,5,1.00,0.59,0.59,0.50,0.00,8.60,0.0%
2026-01-06,24892.20,38255.00,1.16,5,1.00,0.91,0.91,0.50,0.00,8.60,0.0%
2026-01-07,25122.26,38665.00,1.01,5,1.00,0.84,0.84,0.50,0.00,8.65,0.0%
