Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2026-05-12,34290.70,22049.00,,6,1.00,1.00,1.00,1.00,0.00,3.31,-1.0%
2026-05-13,34041.40,22122.00,,6,1.00,1.00,1.00,1.00,0.00,3.32,-0.7%
2026-05-14,34268.30,22268.00,,6,1.00,1.00,1.00,1.00,0.00,3.34,-0.0%
2026-05-15,33833.40,22227.50,,5,1.00,1.00,1.00,1.00,0.00,3.34,-0.2%
2026-05-18,33833.40,22142.00,,5,1.00,0.88,0.88,1.00,0.00,3.32,-0.6%
2026-05-19,33741.20,22161.00,,5,1.00,1.00,1.00,1.00,0.00,3.33,-0.5%
2026-05-20,34161.80,22333.00,,3,0.35,0.84,0.29,0.29,-0.71,3.35,0.0%
2026-05-21,34409.50,22485.50,,3,0.35,1.00,0.35,0.29,0.00,3.36,0.0%
2026-05-22,34471.40,22492.00,,4,0.60,1.00,0.60,0.60,0.31,3.36,0.0%
2026-05-26,34653.90,22551.00,,4,0.60,1.00,0.60,0.60,0.00,3.36,-0.0%
2026-05-27,34412.10,22506.00,,6,1.00,1.00,1.00,1.00,0.40,3.35,-0.2%
2026-05-28,34517.70,22444.00,,6,1.00,1.00,1.00,1.00,0.00,3.35,-0.2%
2026-05-29,34769.10,22525.00,,6,1.00,1.00,1.00,1.00,0.00,3.37,0.0%
2026-06-01,34734.90,22554.00,,6,1.00,1.00,1.00,1.00,0.00,3.37,0.0%
2026-06-02,35169.50,22721.00,,6,1.00,1.00,1.00,1.00,0.00,3.39,0.0%
2026-06-03,34801.54,22699.50,,6,1.00,0.90,0.90,1.00,0.00,3.39,-0.1%
2026-06-04,35217.06,22817.00,,4,0.60,0.90,0.54,0.54,-0.46,3.41,0.0%
2026-06-05,34413.45,22560.00,,3,0.35,0.48,0.17,0.17,-0.37,3.38,-0.8%
2026-06-08,34591.66,22593.50,,3,0.35,0.46,0.16,0.17,0.00,3.38,-0.9%
2026-06-09,34184.72,22278.00,,3,0.35,0.48,0.17,0.17,0.00,3.37,-1.1%
2026-06-10,34151.32,22351.00,,3,0.35,0.42,0.15,0.17,0.00,3.37,-1.0%
2026-06-11,34671.46,22414.00,,3,0.35,0.40,0.14,0.17,0.00,3.37,-1.0%
2026-06-12,34937.85,22724.00,,6,1.00,0.64,0.64,0.64,0.47,3.38,-0.8%
2026-06-15,35275.64,22763.00,,6,1.00,0.59,0.59,0.64,0.00,3.38,-0.9%
2026-06-16,35389.58,22825.00,,6,1.00,0.61,0.61,0.64,0.00,3.38,-0.7%
2026-06-17,35125.11,22958.50,,6,1.00,1.00,1.00,1.00,0.36,3.40,-0.3%
2026-06-18,34969.26,22678.00,,6,1.00,0.40,0.40,0.40,-0.60,3.36,-1.4%
2026-06-19,34857.34,22622.50,,5,1.00,0.43,0.43,0.40,0.00,3.35,-1.7%
2026-06-22,35002.18,22613.00,,5,1.00,0.62,0.62,0.40,0.00,3.35,-1.7%
2026-06-23,34927.38,22636.00,,5,1.00,1.00,1.00,1.00,0.60,3.35,-1.7%
2026-06-24,34736.09,22614.00,,5,1.00,1.00,1.00,1.00,0.00,3.35,-1.8%
2026-06-25,34850.21,22695.00,,5,1.00,1.00,1.00,1.00,0.00,3.36,-1.4%
2026-06-26,34980.00,22727.00,,5,1.00,1.00,1.00,1.00,0.00,3.36,-1.3%
2026-06-29,34823.82,22485.00,,5,1.00,0.48,0.48,0.48,-0.52,3.33,-2.3%
2026-06-30,34856.99,22522.00,,5,1.00,0.53,0.53,0.48,0.00,3.33,-2.2%
2026-07-01,34856.99,22689.00,,5,1.00,0.42,0.42,0.48,0.00,3.35,-1.8%
2026-07-02,34966.67,22387.50,,5,1.00,0.38,0.38,0.48,0.00,3.32,-2.5%
2026-07-03,35274.84,22583.00,,5,1.00,0.34,0.34,0.48,0.00,3.34,-2.1%
2026-07-06,35212.32,22528.00,,5,1.00,0.39,0.39,0.48,0.00,3.33,-2.2%
2026-07-07,35272.59,22556.00,,5,1.00,0.76,0.76,0.48,0.00,3.34,-2.1%
2026-07-08,34935.80,22282.00,,5,1.00,0.71,0.71,0.48,0.00,3.32,-2.7%
2026-07-09,35200.45,22601.00,,5,1.00,0.37,0.37,0.48,0.00,3.34,-2.0%
2026-07-10,35305.31,22649.00,,5,1.00,0.42,0.42,0.48,0.00,3.34,-1.9%
2026-07-13,35252.72,22745.50,,5,1.00,0.85,0.85,0.85,0.38,3.35,-1.7%
2026-07-14,35320.54,22919.00,,5,1.00,1.00,1.00,1.00,0.15,3.37,-1.2%
2026-07-15,35416.20,22845.00,,5,1.00,1.00,1.00,1.00,0.00,3.36,-1.5%
2026-07-16,35340.20,22919.50,,5,1.00,1.00,1.00,1.00,0.00,3.37,-1.1%
2026-07-17,35263.90,22910.00,,5,1.00,1.00,1.00,1.00,0.00,3.37,-1.2%
2026-07-20,34960.30,22823.00,,5,1.00,1.00,1.00,1.00,0.00,3.36,-1.5%
2026-07-21,35369.10,22836.50,,5,1.00,1.00,1.00,1.00,0.00,3.36,-1.5%
